"Standard Name",Description,Category,Status,"Deployment Type","Approval Expiration Date"
"SAP Sybase IQ Client 16.x","SAP IQ (also known as SAP Sybase IQ and Sybase IQ) is a column-based, petabyte scale, relational database software system used for business intelligence, data warehousing, and data marts. Produced by Sybase Inc., now an SAP company, its primary function is to analyze large amounts of data in a low-cost, highly available environment.",Database,Approved,Desktop,2022-12-30
"SAP Sybase Open Client 15.x","Note - only available for VDI installation.  Open Client is a versatile programming interface allowing transparent access to any data source, information application or system service. A library of routines, programming services, and runtime services for application development, Open Client allows custom programs, tools from Sybase, and non-Sybase products to communicate with the Adaptive Server family , with applications developed using Open Server, and with any number of other data sources supported by the ODBC standards and other APIâ€™s. You spend time developing, not addressing interoperability issues.",Database,Sunsetting,Other,-
"SAP Sybase Replication Server v15","Data provisioning software for Sybase ASE databases, providing data management, movement, integration, and synchronization. This product gives us high availability (HA) and disaster recovery (DR), and fast data distribution.","Data Management",Denied,Server,2019-07-01
"Scala v2.x","Scala is to be used with Apache Spark is one of the most popular programming languages / frameworks for big data analysis. Apache Spark is written in Scala as it can be quite fast because it's statically typed and it compiles in a known way to JVM.  As Scala is much faster than python and other programming languages for data processing and analysis, SmartPay team requires Scala to use in conjunction with  Spark framework to perform data analysis of large SP2 and JPM data files.",-,Approved,Desktop,2023-11-29
"Schneider Electric Modbus Tester","Software item needed, this is a servicing tool to support the GSA Advanced metering program technicians to setup, monitor and troubleshoot GSA PBS electric/water/gas/steam meters. This software will be installed on VDI BFI desktop and BSN Consoles: 
Schneider Electric Modbus Tester - a diagnosis tool for establishing, configuring and testing Modbus communication to any device.","Building Automation",Approved,Desktop,2022-10-21
"Schneider Electric Struxureware Power Monitoring Expert v8.x","Power management software that helps maximize system reliability and optimize operational efficiency.  This will be used to set alarms in the ION EEM Smart Meter system.","Building Management",Denied,Desktop,-
"Scooter Software Beyond Compare 3","Beyond Compare allows you to quickly and easily compare your files and folders. By using simple, powerful commands you can focus on the differences you're interested in and ignore those you're not. You can then merge the changes, synchronize your files, and generate reports for your records.","Document Management",Sunsetting,Desktop,2017-11-01
"Screaming Frog 14.x","This tool will help us analyze problems with our digital content, find and fix broken links, and improve search engine optimization (SEO), to make it easier for customers to find our content online.  How we will use it - To analyze and address issues with SEO and performance of websites across GSA.  In particular, it will be used for USA.gov, Vote.gov, CitizenScience.gov, and may others. This desktop software does not integrate with our systems and was approved before just last year.","Web Analytics",Approved,Desktop,2023-01-23
ScreenAgent,"Screen capturing software in support of new FAS Contact Center/Call Center solution.  Software will be packaged and distributed via Bigfix to roughly 120 FAS agents.","HelpDesk Software",Approved,Desktop,2023-04-07
"Scrutiny v10.x (for Mac)","Search.gov requires a manual web crawler to support our customers across government with one-off indexing and troubleshooting for their search experiences. In addition to the Search team, GSA Web and the Office of Customer Experience would like to use Scrutiny to support their monitoring of GSA-managed websites, to ensure requirements of the 21st Century IDEA, OMB web policy, and other web-related laws are met by GSA sites. Total users across all three teams is 10 or fewer.",-,Approved,Desktop,2024-03-14
"Secure Login (2FA) - Confluence","We are using Jira and Confluence applications across GSA.  User will be prompted to log in to Jira / Confluence and once their credentials check they will input a 6 digit pin or authentication code from google authentication app.","Access Control and Audit Control",Approved,Server,2022-09-16
"Secure Login (2FA) - Jira","We are required to use 2-factor authentication to all users accessing our system.  We are using Jira and Confluence applications across GSA. User will be prompted to log in to Jira / Confluence and once their credentials check they will input a 6 digit pin or authentication code from google authenticator.","Access Control and Audit Control",Approved,Server,2022-09-16
"SecureAuth IDP 20.x","The IDMS team needs to upgrade the current SecureAuth 9.x to IDP 20.06. This technology will be implemented as follows:  1. Backup the SecureAuth applicance(s), 2. Upgrade - SecureAuth support assistance.  Software description: Whether on-premises, in the Cloud or both, SecureAuth solutions deliver an incredible array of industry-leading (and often industry-only) capabilities for Adaptive Authentication, Single Sign-On (SSO) and User Self-Service. ""RADIUS"" is also included as a component of this technology.","Access Control and Audit Control",Approved,Server,2023-08-17
"SecureAuth IdP virtual appliance on Windows v 9.x","Software required for EOSS BI. This is a renewal and due to expire 9/30/2021.   This is a request for SecureAuth IdP virtual appliance on Windows - Version 9.x.  SecureAuth IdP is an adaptive access control solution that combines multi-factor authentication, adaptive authentication, single sign-on, and a user self-service tool to render stolen credentials useless, and provide secure access to VPN, on-premises, cloud, web, and homegrown applications and resources.","Access Control and Audit Control",Approved,Server,2024-02-09
"SecureCRT v.9x","There currently is a Critical Security Vulnerability for the VanDyke SecureCRT software in use.  This new updated version of VanDyke SecureCRT software fixes the issue.  The users will receive the updated software via a BigFix push package. The team is standing by for approval GEAR approval to proceed.","Security and Assurance",Approved,Desktop,2023-08-04
"Selenium Chrome Driver","The Selenium WebDriver is the API to write Selenium Scripts (no installation needed for this, it's just a jar file).  Now, in order to run your selenium scripts through a Browser (chrome, IE or Mozilla) you need a driver that will interpret your selenium scripts and control your browser, that's where we need the Chrome Driver.","Web Browser",Approved,Other,2023-04-14
"Selenium IDE","Selenium IDE is an integrated development environment for Selenium scripts. It is implemented as a Firefox extension, and allows you to record, edit, and debug tests.","IDE-Integrated Development Environment",Approved,Server,2022-12-01
"Send Word Now","Send Word Now is the leading worldwide provider of enterprise communications services. Easy-to-use, web-based and mobile solutions are deployed by businesses, government agencies, universities and non-profit organizations to ensure fast, effective communication when it is needed the most. The enterprise-class emergency notification system is capable of transmitting tens of thousands of voice and text messages in minutes, while providing a full audit trail for after action reporting and follow-up. Mobile conferencing, collaboration and workflow solutions keep employees informed and connected to the people and information they need.","Miscellaneous Software",Denied,SaaS,-
"Sendmail 8.x","Sendmail is the most popular UNIX-based implementation of the Simple Mail Transfer Protocol (SMTP) for transmitting e-mail.","Application Servers",Approved,Server,2022-07-04
"SensorSwitch SensorView nLight 6.x","The power of any nLIGHT network is multiplied tenfold by SensorView software. This intuitive and easy-to-use, web-based suite of applications gives authorized users the ability to remotely configure and monitor every nLIGHT system device. It also provides a simple and quick setup tool for creating custom configuration profiles that can either be scheduled or run on demand.",-,Sunsetting,Server,2017-10-01
"Sensu Core 0.x","Sensu is an infrastructure and application monitoring and telemetry solution. Sensu provides a framework for monitoring infrastructure, service & application health, and business KPIs. S","Supporting Network Services",Denied,Server,-
"Sensu Go 6.x","GSA ICEW used Sensu in the ECAS II hosting platform that monitored our cloud environments.  Sensu was upgraded in ECAS II to the latest supported Sensu Go 6.6.3.  Sensu allows us to monitor servers services application health and business KPIs.  Collect and analyze custom metrics and get notified about failures.",DevOps,Approved,Server,2024-02-16
"Serena Software PVCS 8","PVCS Version Manager (originally named Polytron Version Control System) is a software package by Serena Software Inc. for revision control of files, in particular source code files.","Software Configuration Management",Denied,Desktop,-
"Serena Software SBM 10","Serena Business Manager (SBM) is an IT Process Automation platform that enables easy creation of process-based applications for human and system work management.","Software Configuration Management",Sunsetting,PaaS,2017-12-01
"ServiceNow New York Release","This is an upgrade to GSA's existing ServiceNow software from the Madrid release to the New York Release.  Upgrades are required to maintain support from ServiceNow and to take advantage of improvements to the Cloud-based platform. This upgrade will be implemented as part of our standard ServiceNow upgrade process.","HelpDesk Software",Approved,SaaS,2022-03-26
"ServiceNow Orlando Release","This is an upgrade to GSA's existing ServiceNow software from the New York release to the Orlando Release.  Upgrades are required to maintain support from ServiceNow and to take advantage of improvements to the Cloud-based platform. This upgrade will be implemented as part of our standard ServiceNow upgrade process.",Other,Approved,SaaS,2023-02-24
"SharePoint Server 2013",,"Collaboration Software",Denied,Server,-
"Sherpa Software Mail Attender v4","Mail Attender is a granular, rules based Email Quota Management, Mailbox Scanning and Document Retention/Deletion management product for users.","Miscellaneous Software",Sunsetting,Server,2018-05-01
"Siemens BASInfo 2.00","Siemens BASInfo tool is installed on the Insight/DMA workstation.  It extracts all system data needed from the management workstation and directly from each field panel on the system and saves the information to a folder on the workstation.","Building Automation",Approved,Desktop,2023-08-02
"Siemens Desigo 4.x","Siemens Desigo is Building Automation system used at a number of sites throughout the PBS portfolio. The open building management platform is designed to create comfortable, safe and efficient facilities. Desigo CC covers the complete scope from simple single-discipline systems to fully integrated buildings.Easy to engineer and operate, state of the art in technology and functionality, Desigo CC sets industry standards.","Building Automation",Approved,Server,2022-06-01
"SignRequest Enterprise","SignRequest provides an electronic signature capability that will integrate into the GSA FormService solution.  SignRequest permits signing users to affirm their identity and mark their assent in a manner consistent with applicable laws such as the ESIGN Act, Federal regulations, and OMB guidance.  SignRequest will be hosted within the FormService AWS GovCloud solution and will be covered by the FormService ATO authorization.","Survey and Form Designer",Approved,Server,2023-02-16
SimpliciTTY,"Allows contact center agents to communicate with callers with visual or hearing impaired (SimpliciTTY).  FAS awarded a new call center/contact center contract In December 2020 to replace Centurylink.","HelpDesk Software",Approved,Desktop,2023-04-07
"Singular Key","The Identity Portfolio (TTS) GIVE project and OMB MAX migration project both need identity orchestration software to handle verification requests (for example: routing address validation requests to USPS, drivers license validations to AAMVA, or PIV card validations to USAccess).  Developing this software as custom would not be a good use of government resources given multiple COTS projects available on the marketplace.","Identity and Access Management",Approved,Server,2023-09-14
"Sketchup Pro 2021","We need this software tech to produce 3D models and other site related elements for understanding and presenting to the federal customers of GSA.  We have architects, engineers and interior designers who use this software to develop 3D models for presentation material and internal GSA discussions.","CAD-Computer-Aided Design",Approved,Desktop,2023-05-19
"SKM Power Tools for Windows v10.x","This product is use by PBS design and contraction engineers to accomplish fault load analysis and design.",Design,Approved,Desktop,2024-04-11
"Skydio X2D Drone","PBS project teams often need the use of drones for services and deliverables as part of their respective purchases and vendor contracts. Services that require or allow drone usage include:  1. Office of Disposal capture of imagery of government facilities, considered excess property, and scheduled for disposal.  2. Office of Design and construction, employing contract services that employ drones for validating proper construction of high rise facade components are completed per the contract specifications or for inspecting multiple project roof conditions for replacement schedules.  3. Office of Facilities management, employing contract services that employ drones for external capture of facility heat gain or loss due to faulty design or execution.",Other,Approved,Other,2022-10-21
Skype,"Skype allows these registered users to communicate through both instant messaging and voice chat. Voice chat allows telephone calls between pairs of users and conference calling and uses a proprietary audio codec.","Collaboration Software,Video Conferencing",Denied,Desktop,-
Slack,"Slack Enterprise Grid is a cloud-based team collaboration tool. Slack offers a lot of IRC-like features: persistent chat rooms (channels) organized by topic, as well as private groups and direct messaging","Collaboration Software",Approved,SaaS,2022-09-02
"Slack Client for Mac 4.x","Slack is a cloud-based team collaboration tool. Slack offers a lot of IRC-like features: persistent chat rooms (channels) organized by topic, as well as private groups and direct messaging.  The client SW allows for improved user experience and desktop notifications.","Collaboration Software",Approved,Desktop,2022-08-08
"Slack Client for Windows 4.x","Slack is a cloud-based team collaboration tool. Slack offers a lot of IRC-like features: persistent chat rooms (channels) organized by topic, as well as private groups and direct messaging.  The client SW allows for improved user experience and desktop notifications.","Collaboration Software",Approved,Desktop,2022-08-08
"Slack Enterprise Grid","Slack Enterprise Grid is a cloud-based team collaboration tool. Slack offers a lot of IRC-like features: persistent chat rooms (channels) organized by topic, as well as private groups and direct messaging.","Collaboration Software",Approved,SaaS,2022-09-02
"Smart-X ControlUp 8.x","The Citrix team currently is using ControlUp 7.X (approved in GEAR) for managing our servers.  However the team is also involved in another project to upgrade as many servers as possible to Windows 2019.","Network Monitoring",Approved,Other,2023-06-26
Smartsheet,"Smartsheet is an online project management, productivity and team collaboration software as a service application based in Bellevue, Washington. Its online project management tool works like a familiar spreadsheet, but with additional functionality including cloud-capabilities for sharing, attachments, integration with file storage services and Gantt charts.","Project Management Tools",Approved,SaaS,2023-01-06
"Smoothdraw Smoothdraw 3","SmoothDraw is a natural painting and digital free-hand drawing software that can produce high quality pictures, with an intuitive UI.","Image Processing & Graphic Design",Denied,Desktop,-
"Snare Enterprise Agent","Snare (sometimes also written as SNARE, an acronym for System iNtrusion Analysis and Reporting Environment) is a collection of software tools that collect audit log data from a variety of operating systems and applications to facilitate centralised log analysis. Enterprise Agents are available for Linux, OSX, Windows, Solaris, Microsoft SQL Server, a variety of browsers, and more. Snare Enterprise Epilog for Windows facilitates the central collection and processing of Windows text-based log files such as ISA/IIS. Snare Enterprise Epilog for Unix provides a method to collect any text based log files on the Linux and Solaris operating systems. Opensource Agents are available for Irix and AIX.","Network Monitoring",Approved,Desktop,2022-11-28
"Snare MSSQL Agent","The Snare Enterprise Agent for MSSQL agent can track and monitor all database administrative activity from Microsoft SQL Server 2005, 2008, 2012, 2014 (and 2016 coming soon) and securely send the log information to a remote Snare Server, SIEM system, syslog server or a local log file for analysis and reporting.","Network Monitoring",Approved,Desktop,2022-05-02
"Snare Server","The Snare Server is a Security Information and Event Management Solution (SIEM), developed in the security labs of the defense industry, that provides robust audit event collection, analysis, reporting and archival capabilities of IT security log data. It can collect from a variety of operating systems, services and applications and can receive event log data directly from Snare Enterprise Agents, Snare Epilog files (ascii text log file), syslog network devices such as routers, switches, firewalls and authentication servers.","Network Monitoring",Approved,Desktop,2022-05-02
"Snyk CLI 1.x","The FALCON solution to modernize FSS19 is based on a Server less Architecture. The FALCON application code requires a code scanning tool. In order to retain the Server less nature of the FALCON platform, we need a tool that does not require to be run in a container. The Snyk product satisfies this need and is also a best of breed product. It is open source and reasonably priced. The code scanning tool is a requirement for FALCON to obtain its ATO.   Snyk CLI scans and monitors your projects for security vulnerabilities.  Business Capabilities: Snyk will be included in the FALCON CI/CD Pipeline to perform application code scanning. This ensures that all FALCON application code is scanned for vulnerabilities in a completely automated process and satisfies the specific controls around code scanning requirements that are a mandatory requirement for obtaining the ATO for FALCON.  https://snyk.io/","Security and Assurance",Approved,Desktop,2023-12-31
"SoapUI 5.x","SoapUI is a free and open source cross-platform Functional Testing solution.  SoapUI allows you to easily and rapidly create and execute automated functional, regression, compliance, and load tests.  In a single test environment, SoapUI provides complete test coverage and supports all the standard protocols and technologies.
https://www.soapui.org/downloads/latest-release/","IT Testing and Analysis",Approved,Desktop,2022-12-31
"SoftwareHouse C-Cure 9000 2.x","C-CURE 9000 is one of the industryâ€™s most powerful and flexible security management systems. Monitor events, manage personnel, create reports, display dynamic views, and monitor system activity anywhere in the world directly from your PC using the full C-CURE 9000 client, the web client, or on the move with C-CURE Go mobile app.","Building Management",Sunsetting,Desktop,2017-10-01
"Solarwinds - Orion Platform v2020.X","This is existing technology already utilized by the Server Management team.  The technology has already been implemented at GSA and has been in place for years. The following modules should be listed under the Solarwinds Orion Platform:  SAM - Server Application Monitor, IPAM - IP Address Manager, SRM - Storage Resource Monitor, NCM - Network Configuration Monitor, VNQM - Voip and Network Quality Manager, LA - Log Analyzer, NTA - Network Traffic Analyzer, VMan - Virtualization Manager, UDT - User Device Tracker, DPA - Database Performance Analyzer, HA - Orion High Availability, NPM - Network Performance Monitor.","Network Monitoring",Approved,Server,2022-09-16
"Solarwinds Kiwi Log Viewer","The Kiwi syslog server is to be used to forward security related syslog entries to the GSA SecOps SIEM tool. This allows meeting the ATO requirements to ship logs to the GSA SIEM tool. This has been happening currently with a free tool but the paid version of the Kiwi SYSLOG server allows receiving syslog records from multiple hosts. This allows us to receive data from the BIG-IP load balancers and generate email alerts in a more controlled fashion than currently used. The Kiwi server also stores messages if a connection is lost and forwards the messages once a connection is reestablished to the SIEM tool.","Data Management",Approved,Server,2023-06-26
"Solarwinds SNMP Walker(MIB Walk)","The SACM Team requires a tool to troubleshoot SNMP data issues identified in ServiceNow Discovery.  ServiceNow technical KBs recommend the use of a SNMP walk tool.  GSA already owns the Solarwinds licensing that provides access to this tool.","Access Control and Audit Control",Approved,Desktop,2022-08-04
"Solibri Model Checker v4","Solibri Model Checker is the Quality Assurance solution for building information modeling (BIM) validation, compliance control, design review, analysis and code checking.","Building Information Modeling",Denied,Desktop,-
"Solibri Model Checker v5","Solibri Model Checker is the Quality Assurance solution for building information modeling (BIM) validation, compliance control, design review, analysis and code checking.","Building Information Modeling",Denied,Desktop,-
"Solibri Model Checker v7","Solibri Model Checker is the Quality Assurance solution for building information modeling (BIM) validation, compliance control, design review, analysis and code checking.","Building Information Modeling",Sunsetting,Desktop,2017-10-01
"SonarQube Community Edition 8.x","SonarQube 8.x is needed to support source code scanning of federalist pages.  Due to a licensing issue the existing product, checkmarx cannot be used.","Security and Assurance",Approved,Server,2023-04-13
"Sonicwall Global VPN Client 4.x","Virtual Private Networking (VPN) technology by Dell SonicWALL makes it easy for administrators to establish a secure and extensive VPN that is easy to manage and administer. For secure site-to-site communication, Dell SonicWALL firewalls include integrated IPSec VPN, and for remote client-to-host secure access, Dell SonicWALL offers both SSL VPN and IPSec VPN connectivity options. Dell SonicWALL also makes a complete line of Secure Remote Access/SSL VPN appliances, which offer remote access and management capabilities to organizations of all sizes with varying network complexities and security requirements.","Mobility Technology Services",Denied,Desktop,-
SoothSayer,"SoothSayer software was obtained from Department of Defense's computer Electronics/Accommodations Program (CAP).
SoothSayer is a word prediction software program. This software can help an individual draft emails and documents faster and more accurately by predicting logical words and improving grammar and sentence structure based on the contextual meaning of that sentence.","Section 508 Accessibility Software",Approved,Desktop,2023-07-10
"Sophos SSL VPN Client 2.x","Sophos VPN clients provide easy-to-use and transparent remote access to all company applications. This is provided through secure SSL or IPsec VPNs from Windows, Linux, Mac OS and UNIX-based systems.","Remote Access and Remote Control",Approved,Desktop,2022-09-01
"Specifications-Kept-Intact (SpecsIntact)","SpecsIntact (Specifications-Kept-Intact) is an automated system for preparing standardized facility construction specifications.  It would be very beneficial for developing small in-house projects.  GSA does not have a means to generate ""technical"" specifications. We only have Division 1.  This program would allow creation of Technical Specs for other areas such as concrete, masonry, painting, millwork, HVAC, doors, windows, flooring.","Miscellaneous Software",Approved,Desktop,2023-06-09
Specsintact,"Our new IDIQ contracts no longer have specifications. PMs are now required to write specifications for each project. Specsintact software has all the data from Unified Facilities Guide Specifications (UFGS). Using SpecsIntact reduces the time and expense required to produce facility specifications.","Project Management Tools",Denied,Desktop,-
SplitCam,"SplitCam webcam software offers cool webcam effects for having more positive emotions during video calls with your friends! Additionally SplitCam is the easiest way to split your webcam video stream.","Video Conferencing",Denied,-,-
"Splunk Enterprise v8.x","The IDMS team needs to upgrade their current Splunk version to 8.2.  We will be upgrading to Splunk 8.2 with the following process.  The upgrade process for Splunk Enterprise consists of three phases: Phase 1: Identify, back up, and verify that components work as you expect, Phase 2: Install updated Splunk Enterprise components, Phase 3: Confirm everything works after the upgrade.","Data Management",Approved,Server,2023-08-04
"Spring Tool Suite 4.x","The Spring Tool Suite is an Eclipse-based development environment that is customized for developing Spring applications.","Programming Environment",Approved,Desktop,2022-12-31
"SPS-Secure Payment System 2019","Secure Payment System (SPS) is an application that provides a mechanism by which government agencies can create payment schedules in a secure fashion, and with a strictly enforced separation of duties. This application allows personnel at Federal Program Agency (FPA) locations to submit schedules to FMS over a browser/web interface. Two different user-types are required and responsible for an FPA to submit schedules to SPS. First, a Data Entry Operator (DEO) creates a schedule and submits the schedule for certification. Next a Certifying Officer (CO) examines the schedule and upon verification, certifies the schedule which results in the schedule being submitted to FMS.","Miscellaneous Software",Approved,Desktop,2024-02-28
"SQL Access Group ODBC 3","ODBC (Open Database Connectivity) is a standard programming language middleware API for accessing database management systems (DBMS). The designers of ODBC aimed to make it independent of database systems and operating systems.","Scripting Language",Sunsetting,Desktop,2018-01-01
"SQL Anywhere 17","Background: We have SAP IQ as a database product. IQ has always used SQL Anywhere as it's catalog SQL processing software against the IQ data store.  SAP used to provide a client tool called IQ Client 16. This is what you would find in GEAR or when ordering software in Service Now. The newer version of that is called SQL Anywhere 17 Client. We need to have this free-of-charge tool called SQL Anywhere 17 Client-Only Install made available to replace a soon to be end of life IQ Client 16 version and provide support for modern features including the GSA standard TLS 1.2.","Database Admin Tools",Approved,Desktop,2023-06-26
"SQL Server Management Studio (SSMS) 18.x","Microsoft SQL Server Management Studio (SSMS) 18.x is needed to replace the current version which is approaching end-of-life status.  This open source product will be deployed via a BigFix installation package for use by the GSA Enterprise Database team and other application team developers upon request.","Database Admin Tools",Approved,Desktop,2023-05-29
"SQuirreL 4.x","The open source SQuirreL SQL Client is a graphical Java program that will allow you to view the structure of a JDBC compliant database, browse the data in tables, issue SQL commands etc.  Squirrel currently supports the following databases:  IBM DB2,
Informix, Microsoft Access, Microsoft SQL Server, WebLogic, MySQL, Oracle, PostgreSQL, Sybase.  Once SQuirreL is approved. A VDI package will be created for deployment.","Database Admin Tools",Approved,Desktop,2022-12-31
"Stamps.Com Software","Stamps.com is an official vendor of online postage from the United States Postal Service. Using this software will save GSA considerable amounts of money compared to leasing or purchasing postage meters in most of our regional offices. This request to conduct a test of this software in one location requires approval of the software that would run on the computers in the mail rooms. The stamps would be printed using either small printers that print individual stamps from a roll, or regular laser printers using special sheets of serialized stamps. This would only be used by the various contractors that work in the mailrooms and for Section 508 purposes would be considered excepted under the back office provision.","Assistive Technology,Order Management",Approved,Desktop,2022-12-31
"Starfield Utilities","This is a servicing tool for the Advanced lighting Controllers at the new Alexandria Bay LPOE.  Selected technicians will use the tool to configure and amend the devices.","Building Automation",Approved,Desktop,2022-05-12
"Stata 16","We would like to buy multiple licenses for Stata for our team, those that use the software often and need a desktop version for data privacy agreements.

We have short-term academic fellows that come to our office for anywhere from 4 years to 6 months. Some only know how to manage data as they have used this at their universities for years and in their research. Thus, a license for R or Python will not work for them.","Data Management",Approved,Desktop,2022-10-24
"Streamsets Control Hub, Product v3.x","StreamSets Control Hub is a single hub for designing, deploying, monitoring, managing and optimizing all your data pipelines, data processing jobs, and execution engines.  It helps to manage data pipelines and jobs running on execution engines across platforms, gain visibility into all pipeline operation across on-premises and any cloud, open up tools to teams with role-based permissions to collaborate and share pipelines.  Its a standalone tool that will be implemented in our Fleet FCS VPC cloud environment.","Data Management",Approved,Server,2023-09-28
"StreamSets Data Collector","This technology will help us to build flexible data pipelines to allow delivery of data to applications and customers in a more efficient manner.  It also will help to reduce the cost of ownership of the software while introducing advanced data management capabilities and by providing options to retire existing legacy data pipelines.","Data Management",Approved,Server,2022-04-06
"Stunnel 5.x","STunnel is an open-source multi-platform application used to provide universal TLS/SSL tunneling service.
 stunnel can be used to provide secure encrypted connections for clients or servers that do not speak TLS or SSL natively. It runs on a variety of operating systems, including most Unix-like operating systems and Windows. stunnel relies on the OpenSSL library to implement the underlying TLS or SSL protocol.","Service Transport",Approved,Desktop,2024-01-31
"Sublime Text 3","Sublime Text is a proprietary cross-platform source code editor with a Python application programming interface (API).","IDE-Integrated Development Environment",Approved,Desktop,2022-07-29
"Sunbird Power IQ v8.x","Data Center Operations is in need to update our existing DCIM solution, Sunbird PIQ, to the latest software release v8.x.  As this is a major update, a Tech Request is required.",-,Approved,Server,2023-08-17
"Supco Log 1.x","Supco Log allows Property Management to log temperature or humidity readings every few minutes for a duration of time to trend issues which allows for more effective corrective action to be taken.",-,Sunsetting,Desktop,2017-10-01
SurveyMonkey,"SurveyMonkey is an online survey development cloud-based software as a service company which provides free, customizable surveys, as well as a suite of paid back-end programs that include data analysis, sample selection, bias elimination, and data representation tools.","Survey and Form Designer",Denied,SaaS,-
"SUSE Linux Enterprise Server (SLES) 11","SUSE Linux Enterprise Server (SLES) is a Linux-based operating system developed by SUSE. It is designed for servers, mainframes, and workstations but can be installed on desktop computers for testing as well. Major versions are released at an interval of 3-4 years, while minor versions (called ""Service Packs"") are released about every 18 months. SUSE Linux Enterprise products, including SUSE Linux Enterprise Server, receive more intense testing than the openSUSE community product, with the intention that only mature, stable versions of the included components will make it through to the released enterprise product.","Network Operating System",Sunsetting,Server,2017-09-01
"Sybase Software Developers Kit (SDK) 16.x","This technology is only available for installation on VDI.  Version 16.x is available now and works with the latest Sybase products.  The GSA Enterprise Database Team is updating to the newer version it is compatible with the older and new Sybase Database versions.","Database Admin Tools",Approved,Other,2024-05-10
"Symantec Encryption Management Server v10.x","This is to Digitally sign Qualtrics survey emails for pulse survey.  Per a review of the available website the software does not appear to possess, or require the use of Cloud processing/storage [caveats will pre-empt the use of any capabilities or features].",-,Approved,Server,2024-01-26
"Symantec EndPoint Protection (SEP) Antivirus 14.x.x","This software is being used in the Network Hosting Center; a system that GSA received unlimited data rights to in FY21. The Network Hosting Center is a post-award contract/price management system that supports multiple telecommunications contracts as well as the EIS IDIQ. This approval is being requested as a result of this change from vendor owned/operated to GSA (w/unlimited data rights), and to comply with GSA IT standards.","Collaboration Software",Approved,Server,2024-03-21
"Synergis Software Adept 2007","Synergis Software is the developer of Adept engineering data and document management solutions.","Document Management",Denied,Server,-
"Sysbox Community Edition (CE) v0.x","Sysbox is an open-source, next-generation container runtime.  Works below Docker and Kubernetes.  Installs easily on-prem or in the cloud, strong Isolation.  As part of our Docker pilot we require a tool to help with isolating one container group from another.  This tool enables isolation on a single Docker Service.",-,Approved,Desktop,2024-03-15
"Sysmon (System Monitoring) Windows Service v13.x","System Monitor (Sysmon) is a Windows system service and device driver that remains resident across system reboots to monitor and log system activity to the Windows event log.  It provides detailed information about process creations, network connections, and changes to file creation time.  By collecting the events it generates using Windows Event Collection or SIEM agents and subsequently analyzing them, you can identify malicious or anomalous activity and understand how intruders and malware operate on your network.",-,Approved,Server,2023-08-31
"System Configuration Tool (SCT) 14.x","The System Configuration Tool (SCT) supports the engineering, installation, and commissioning of your building automation system. The SCT application enables fast offline generation and Metasys UI configuration of the complete site, including point naming; integration of N1, N2, BACnet®, and LonWorks® networks; integration of Modbus, M-Bus, and KNX third-party protocols; integration of local and remote MS/TP devices; definition of tailored summaries and user views; the creation of custom control logic using a graphical user interface; and integration of building systems.","Building Automation",Approved,Server,2023-06-28
"SysTrack v10.x  (Server)","The primary potential value of this utilization data is Total Cost of Ownership (TCO) reduction through proactive identification of end user devices for: - Rationalization: through correlation of device capabilities (e.g. model, specifications) user utilization of the device, and the level of device resource (e.g. CPU, memory, storage) utilization; TCO can be lowered by rationalizing device model distribution based on objective assessment of individual user needs. - Extended Usage: through correlation of objectively measured device health with lifecycle status (time in use, warranty term, etc.) and financial attributes (e.g. cost), individual devices and/or models of device can be identified as appropriate for extended deployment (beyond scheduled refresh term) reducing TCO through reduction in new device purchases and informed selection of models based upon past performance. - Early Replacement: the same correlations and analysis to identify extended usage candidates can also identify devices or device models for early replacement to reduce interim support costs and improve user experience while informing future procurements of device models/characteristics that should be avoided.",-,Approved,Server,2023-11-22
"SysTrack v10.x (Desktop)","The primary potential value of this utilization data is Total Cost of Ownership (TCO) reduction through proactive identification of end user devices for:  - Rationalization: through correlation of device capabilities (e.g. model, specifications) user utilization of the device, and the level of device resource (e.g. CPU, memory, storage) utilization; TCO can be lowered by rationalizing device model distribution based on objective assessment of individual user needs.   - Extended Usage: through correlation of objectively measured device health with lifecycle status (time in use, warranty term, etc.) and financial attributes (e.g. cost), individual devices and/or models of device can be identified as appropriate for extended deployment (beyond scheduled refresh term) reducing TCO through reduction in new device purchases and informed selection of models based upon past performance.   - Early Replacement: the same correlations and analysis to identify extended usage candidates can also identify devices or device models for early replacement to reduce interim support costs and improve user experience while informing future procurements of device models/characteristics that should be avoided.",-,Approved,Desktop,2023-11-16
"T-Dog Software iBrowse 1","iBrowse is an interactive Web Browser for PowerPoint that allows you to easily add live web content such as HTML, PDF, and Flash to your Microsoft PowerPoint presentations.","Web Browser",Denied,Desktop,-
TabJolt,"Deployment type: Client/Server SW - Solution required to accelerate the multi-week load testing effort required for go-live production with a new version of Tableau Server.  This is a critical request as we have to post a COVID-19 dashboard to D2D for OMB that will be open to the public.","Data Management",Approved,Server,2022-05-12
"Tableau Creator / Tableau Desktop 2021.X","This is a request for the next major version of Tableau Desktop 2021.  The currently approved version of Tableau Desktop is 2020.","Web Analytics",Approved,Desktop,2023-04-27
"Tableau Creator / Tableau Prep 2021","Tableau Prep is an add-in for Tableau Professional Desktop 2021 and can be used in the analysis of data across the enterprise.","Web Analytics",Approved,Desktop,2023-04-28
